url,description,image,price
/http:////www.ebay.com//itm//5-PCS-14-Aluminum-Bolt-Arrows-50-lbs-80-lbs-Crossbow-//352768629357?hash=item5222a61a6d/,"5 PCS 14 "" Aluminum Bolt Arrows for 50 lbs 80 lbs Crossbow",/http:////thumbs2.ebaystatic.com//m//mH-JtDCehQtQs43kszQwSVw//140.jpg/,$9.98
/http:////www.ebay.com//itm//Munetoshi-Brand-Water-Dragon-Differentially-Hardened-1060-Samurai-Katana-Sword-//352702192926?hash=item521eb05d1e/,Munetoshi Brand Water Dragon Differentially Hardened 1060 Samurai Katana Sword,/http:////thumbs3.ebaystatic.com//m//mHJQB9MlY7LY8LP4OqdQ2pA//140.jpg/,$119.98
/http:////www.ebay.com//itm//Munetoshi-Lion-Dog-Wakizashi-DH-1060-Steel-Functional-Samurai-Sword-Sharp-Blade-//202719231461?hash=item2f3301fde5/,Munetoshi Lion Dog Wakizashi DH 1060 Steel Functional Samurai Sword Sharp Blade,/http:////thumbs2.ebaystatic.com//m//mkZb0lwscuMacRdg02K6Fbg//140.jpg/,$109.98
/http:////www.ebay.com//itm//Deluxe-3Tier-Table-Wall-Mount-Multi-Function-Samurai-Katana-Sword-Display-Stand-//173813977409?hash=item28781ed141/,Deluxe 3Tier Table Wall Mount Multi Function Samurai Katana Sword Display Stand,/http:////thumbs2.ebaystatic.com//m//mh4Cn-FEJL5S8wk9AsIPuow//140.jpg/,$10.98
/http:////www.ebay.com//itm//40-Lightweight-Compressed-Bamboo-Bokken-Bokuto-Kendo-Practice-Kata-Sword-Daito-//351437581960?hash=item51d34fee88/,"40"" Lightweight Compressed Bamboo Bokken Bokuto Kendo Practice Kata Sword Daito",/http:////thumbs1.ebaystatic.com//m//mDYOESeFbipn3Nj0wzbDP1g//140.jpg/,$12.98
/http:////www.ebay.com//itm//40-Roman-Maximus-Gladiator-Foam-Padded-Sword-Cosplay-Costume-Prop-LARP-New-//202609239550?hash=item2f2c73a5fe/,"40"" Roman Maximus Gladiator Foam Padded Sword Cosplay Costume Prop LARP New",/http:////thumbs3.ebaystatic.com//m//meLpIApmA-bM6vI58rhw47w//140.jpg/,$19.98
/http:////www.ebay.com//itm//Handmade-Brass-Maritime-Ship-Navigation-Sailing-Wheel-Keychain-Nautical-Gift-//174010176728?hash=item2883d094d8/,Handmade Brass Maritime Ship Navigation Sailing Wheel Keychain Nautical Gift,/http:////thumbs1.ebaystatic.com//m//mHcxm3FgkJaAauNiEiFCeHw//140.jpg/,$8.98
/http:////www.ebay.com//itm//Munetoshi-Lion-Dog-Handmade-DH-1060-Steel-Samurai-Katana-Sword-Sharp-Blade-Bohi-//352702266394?hash=item521eb17c1a/,Munetoshi Lion Dog Handmade DH 1060 Steel Samurai Katana Sword Sharp Blade Bohi,/http:////thumbs3.ebaystatic.com//m//m_Vf5fWY6puDSiW71EhuNLA//140.jpg/,$119.98
/http:////www.ebay.com//itm//3-Pcs-8-Silver-Demon-Throwing-Knife-Skelotonized-Fixed-Blade-Sharp-Pouch-//202765309825?hash=item2f35c11781/,"3 Pcs 8"" Silver Demon Throwing Knife Skelotonized Fixed Blade Sharp with Pouch",/http:////thumbs2.ebaystatic.com//m//mp2Z6YvmQXQXLAnn3JyPr9Q//140.jpg/,$12.98
/http:////www.ebay.com//itm//OW-Fantasy-Foam-Gun-Tracer-Weapon-Cosplay-Props-LARP-Shotgun-Gold-//173814075293?hash=item2878204f9d/,OW Fantasy Foam Gun Tracer Weapon Cosplay Props LARP Shotgun Gold,/http:////thumbs2.ebaystatic.com//m//mVDPc_qJG7bWw3oC9RnrAYA//140.jpg/,$11.98
/http:////www.ebay.com//itm//Medieval-Saxon-Nasal-Helmet-LARP-Costume-Cosplay-Renaissance-Reenactment-//352768750499?hash=item5222a7f3a3/,Medieval Saxon Nasal Helmet LARP Costume Cosplay Renaissance Reenactment,/http:////thumbs4.ebaystatic.com//m//mCtz9sVQVwBk_y0udF0STJA//140.jpg/,$69.98
/http:////www.ebay.com//itm//18-Hand-Forged-and-Crafted-Seax-Dagger-Steel-Oval-Brown-Leather-Handle-//173814110716?hash=item287820d9fc/,18” Hand Forged and Crafted Seax Dagger Steel with Oval Brown Leather Handle,/http:////thumbs1.ebaystatic.com//m//m4votOPefvffQrdddTi5EoA//140.jpg/,$49.98
